numberOfDeploymentConfigurations infrastructureCount solvingDurationProcess finalSystemCpuTime finalUserCpuTime initialSystemCpuTime initialUserCpuTime deltaSystemCpuTime deltaUserCpuTime totalExecutionDuration threadMemoryConsumption
3800 95 9.860843 1.14058609E10 1.12900004E10 7.3049901E8 6.8E8 1.06753618E10 1.06099999E10 0.0 4.1654272E8
3800 95 9.117526 2.10635858E10 2.09100001E10 1.1428481E10 1.13100001E10 9.6351048E9 9.6E9 0.0 5.4728704E8
3800 95 8.263799 2.95430492E10 2.93900001E10 2.10645094E10 2.09100001E10 8.4785398E9 8.48E9 0.0 5.4754918E8
3800 95 7.9602647 3.7663089E10 3.7510001E10 2.95438356E10 2.93900001E10 8.119253E9 8.1200005E9 0.0 5.4774579E8
3800 95 7.9096375 4.5768151E10 4.5619999E10 3.7663703E10 3.7510001E10 8.104448E9 8.1099981E9 0.0 5.4787686E8
3800 95 7.3374104 5.3279752E10 5.3129998E10 4.5769077E10 4.5619999E10 7.5106755E9 7.5099996E9 0.0 5.4820454E8
3800 95 7.847607 6.1313372E10 6.1160002E10 5.3280383E10 5.3129998E10 8.0329892E9 8.0300032E9 0.0 5.4846669E8
3800 95 7.838107 6.9309276E10 6.9160002E10 6.1314015E10 6.1160002E10 7.9952609E9 8.0E9 0.0 5.4846669E8
3800 95 9.027979 7.8479163E10 7.8330003E10 6.9309964E10 6.9160002E10 9.1691991E9 9.1700019E9 0.0 5.4859776E8
3800 95 8.500971 8.724489E10 8.7090004E10 7.8479671E10 7.8330003E10 8.7652188E9 8.7600005E9 0.0 5.4859776E8
3800 95 8.685232 9.6142172E10 9.5989998E10 8.7245472E10 8.7090004E10 8.8967004E9 8.8999936E9 0.0 5.486633E8
3800 95 8.658279 1.04987173E11 1.04819999E11 9.6142811E10 9.5989998E10 8.8443617E9 8.8300012E9 0.0 5.4872883E8
3800 95 9.247172 1.14425364E11 1.14260001E11 1.04987828E11 1.04819999E11 9.4375363E9 9.440002E9 0.0 5.4872883E8
3800 95 9.274167 1.2386354E11 1.23700003E11 1.14425954E11 1.14260001E11 9.4375854E9 9.440002E9 0.0 5.4892544E8
3800 95 8.934219 1.33049901E11 1.32890001E11 1.23865489E11 1.23700003E11 9.1844116E9 9.1899986E9 0.0 5.4899098E8
3800 95 9.011698 1.42248641E11 1.4208E11 1.33050941E11 1.32890001E11 9.1976991E9 9.1899986E9 0.0 5.4918758E8
3800 95 9.060263 1.51488659E11 1.51320003E11 1.42249165E11 1.4208E11 9.2394947E9 9.2400026E9 0.0 5.4925312E8
3800 95 9.3475895 1.61023885E11 1.60850002E11 1.51489266E11 1.51320003E11 9.5346196E9 9.5299994E9 0.0 5.4925312E8
3800 95 8.689528 1.69895805E11 1.69729999E11 1.61024475E11 1.60850002E11 8.8713298E9 8.8799969E9 0.0 5.4931866E8
3800 95 8.523329 1.78582241E11 1.78409996E11 1.69896346E11 1.69729999E11 8.6858957E9 8.6799974E9 0.0 5.4990848E8
3800 95 8.464648 1.87220525E11 1.8705E11 1.78582847E11 1.78409996E11 8.6376776E9 8.6400041E9 0.0 5.4990848E8
3800 95 8.7982855 1.96182786E11 1.9601E11 1.87221098E11 1.8705E11 8.9616876E9 8.96E9 0.0 5.4997402E8
3800 95 8.523142 2.04884165E11 2.04710003E11 1.96183392E11 1.9601E11 8.7007724E9 8.7000023E9 0.0 5.4997402E8
3800 95 8.729522 2.13788541E11 2.13610004E11 2.04884853E11 2.04710003E11 8.9036882E9 8.9000018E9 0.0 5.5010509E8
3800 95 8.496445 2.22469931E11 2.22290002E11 2.13789213E11 2.13610004E11 8.6807183E9 8.6799974E9 0.0 5.5017062E8
3800 95 8.474345 2.31124713E11 2.3094E11 2.22470488E11 2.22290002E11 8.6542254E9 8.6499983E9 0.0 5.5017062E8
3800 95 8.553804 2.39879553E11 2.39700001E11 2.31125189E11 2.3094E11 8.7543644E9 8.7600005E9 0.0 5.5036723E8
